NU_NOTA_MT,TP_COR_RACA,TP_ESCOLA,TP_SEXO,Q002,NU_NOTA_CN,NU_NOTA_CH,NU_NOTA_LC,TP_ANO_CONCLUIU
501.1,1,1,F,H,556.8,393.2,373.7,4
555.2,3,2,M,H,365.2,419.7,424.6,0
577.7,3,1,F,G,605.5,592.5,626.4,4
424.0,3,1,F,E,386.9,388.6,391.1,0
416.9,4,1,F,C,438.3,540.5,481.1,3
528.2,2,2,M,B,411.7,512.6,392.5,0
540.7,1,2,M,C,436.9,529.4,525.4,0
402.7,1,1,F,E,416.1,446.5,452.2,0
480.8,1,2,M,B,430.4,371.7,342.7,0
509.6,1,3,M,E,512.3,554.2,578.9,0
474.4,1,1,M,C,526.9,487.8,552.3,0
415.3,3,1,M,B,478.8,554.7,476.9,14
410.0,3,1,F,D,348.6,473.8,453.9,2
701.1,1,3,F,E,607.4,600.9,579.2,0
755.5,1,1,F,E,674.2,743.5,649.6,4
632.2,1,1,F,G,524.2,542.1,501.9,0
654.5,3,2,M,F,447.4,471.4,535.1,0
561.3,1,2,F,B,556.0,634.1,579.9,0
413.3,3,1,F,B,418.2,386.9,380.8,0
510.1,3,2,F,C,386.6,508.7,467.9,0
676.6,1,1,M,G,608.6,574.8,670.7,5
697.5,1,1,F,E,575.5,551.6,531.0,2
513.8,3,1,F,C,361.5,555.4,506.7,1
620.7,1,1,F,E,540.9,500.4,499.3,0
555.8,3,3,F,D,508.2,524.4,528.9,0
757.7,3,2,M,G,611.1,681.8,631.7,0
645.7,3,2,M,C,593.9,616.1,585.7,0
523.2,3,1,M,E,447.3,512.6,476.8,3
617.3,3,3,M,E,553.3,389.6,484.1,0
720.9,4,1,F,G,538.5,611.4,605.5,0
608.1,3,1,F,E,430.2,441.7,505.5,0
433.3,3,2,F,E,409.4,522.7,422.6,0
587.1,1,1,F,C,658.6,639.2,551.0,4
579.3,3,1,F,C,406.6,554.7,414.7,0
596.8,3,2,M,G,507.2,564.1,487.3,0
549.3,1,1,F,C,524.9,414.8,477.1,1
711.0,1,3,M,G,661.1,607.7,585.4,0
645.9,1,2,F,E,509.6,551.5,485.9,0
765.5,1,1,M,E,638.7,760.3,682.3,2
492.2,1,1,M,B,466.1,528.2,450.1,15
394.3,3,1,F,C,441.1,482.8,345.7,8
697.1,1,1,M,E,488.9,593.3,511.4,0
566.7,1,2,F,C,420.0,548.7,500.0,0
526.4,1,3,M,F,472.7,536.0,488.2,0
447.4,1,2,M,B,393.5,372.0,382.7,0
579.0,3,2,F,B,403.8,461.9,450.6,0
506.5,3,2,F,H,379.6,579.9,546.9,0
667.6,1,1,F,F,626.6,643.4,604.5,2
629.3,3,1,F,E,580.1,670.4,576.9,1
408.5,3,1,F,E,477.9,526.2,449.6,3
540.4,1,1,F,G,584.7,691.2,634.4,1
593.5,1,2,F,F,489.9,566.4,524.9,0
470.9,1,1,M,B,545.7,609.2,600.1,15
374.4,3,2,F,G,366.7,387.9,358.1,0
538.5,2,1,M,E,574.8,550.8,558.8,0
523.4,1,1,F,F,441.0,452.4,462.4,0
613.1,1,2,F,E,510.7,571.4,403.0,0
348.6,1,1,M,B,490.8,421.3,495.4,5
474.6,2,1,M,C,391.6,352.8,442.3,0
475.2,3,1,F,C,513.7,350.7,515.8,0
600.6,3,1,M,F,506.2,568.6,516.6,8
562.0,1,1,F,E,472.6,515.4,510.7,0
508.9,3,1,F,F,586.0,572.8,560.1,2
395.4,2,1,F,F,531.2,463.4,528.2,3
467.2,3,1,M,F,436.6,543.8,494.2,2
493.3,3,1,F,A,435.0,432.7,315.5,0
401.1,3,2,M,E,387.0,368.8,411.7,0
476.1,3,1,M,E,526.7,462.9,420.4,7
436.4,1,2,F,D,415.5,487.1,538.5,0
585.5,1,1,M,E,533.2,545.4,515.3,0
657.3,3,1,M,E,577.9,645.1,581.5,2
424.5,2,1,M,C,514.3,484.1,522.2,4
522.8,3,1,F,B,473.6,517.1,479.7,15
373.4,3,1,F,F,519.0,600.1,525.9,0
518.9,3,1,M,C,490.3,527.2,380.5,0
602.6,2,1,F,D,429.7,580.9,594.9,5
439.1,2,1,M,D,418.9,479.2,481.1,1
639.0,2,1,F,E,436.1,628.6,477.7,9
422.7,2,1,F,B,416.0,555.3,433.5,1
433.5,3,1,F,B,488.8,521.5,442.3,6
695.9,1,1,F,G,627.1,651.9,601.7,2
428.8,1,2,M,G,485.3,526.2,467.4,0
692.7,1,3,M,G,575.9,608.2,606.1,0
661.5,3,2,F,F,613.2,623.8,564.1,0
538.4,4,1,F,B,396.7,521.0,443.3,3
623.4,2,2,F,G,604.0,607.8,522.4,0
573.5,1,1,M,D,555.0,580.9,575.9,3
431.7,1,2,F,D,360.8,494.4,480.3,0
674.3,1,1,F,F,534.2,613.4,617.0,6
614.8,1,3,M,G,603.2,582.8,593.2,0
768.4,1,3,F,G,663.3,694.5,736.7,0
852.6,1,1,M,E,625.1,661.9,599.5,3
583.4,1,1,F,D,491.5,559.6,522.4,1
411.2,3,1,F,A,371.2,426.8,435.3,3
590.1,3,2,F,F,530.1,598.3,542.6,0
493.8,2,2,M,E,370.0,425.9,473.0,0
391.2,3,2,F,D,476.6,412.2,398.5,0
418.0,3,2,F,H,373.2,368.4,463.7,0
411.0,3,2,F,C,454.0,414.1,373.0,0
508.6,3,1,F,B,451.7,421.1,469.7,2
512.2,1,1,F,D,447.2,477.4,464.6,2
502.0,3,1,F,F,558.8,534.5,506.9,0
400.3,3,1,F,D,382.0,487.4,412.1,1
492.9,3,2,F,A,458.3,436.2,450.4,0
856.0,3,1,F,A,646.5,661.6,594.9,4
534.7,1,2,M,E,457.2,557.2,575.5,0
605.4,1,1,F,F,544.6,549.4,538.9,0
472.1,1,2,F,E,449.6,481.7,474.3,0
716.7,1,1,F,F,611.0,635.9,604.6,2
